,개인,외국인,기관
2020-08-07,"8,534 ",-737 ,"-7,870 "
2020-08-06,-850 ,"1,638 ",-801 
2020-08-05,"4,315 ",-516 ,"-3,666 "
2020-08-04,"1,844 ",-583 ,"-1,488 "
2020-08-03,"6,237 ","-2,687 ","-3,795 "
2020-07-31,"4,716 ",-556 ,"-3,861 "
2020-07-30,64 ,"2,247 ","-2,342 "
2020-07-29,476 ,"2,936 ","-3,368 "
2020-07-28,"-10,495 ","13,060 ","-2,220 "
2020-07-27,"-2,996 ","1,584 ","1,395 "
2020-07-24,"2,881 ",876 ,"-3,678 "
2020-07-23,"7,768 ","-2,039 ","-5,869 "
2020-07-22,"2,604 ",-11 ,"-2,418 "
2020-07-21,"-5,677 ","4,448 ","1,435 "
2020-07-20,"4,070 ",-753 ,"-3,292 "
2020-07-17,"-1,121 ","1,128 ",365 
2020-07-16,"3,006 ","-1,336 ","-1,835 "
2020-07-15,"-5,996 ","2,687 ","3,347 "
2020-07-14,"4,186 ",50 ,"-3,958 "
2020-07-13,"-2,908 ","1,023 ","2,008 "
2020-07-10,"10,373 ","-3,451 ","-7,078 "
2020-07-09,"3,168 ",101 ,"-2,879 "
2020-07-08,"6,229 ","-3,421 ","-2,768 "
2020-07-07,"8,579 ","-3,915 ","-4,594 "
2020-07-06,"-3,610 ","-2,574 ","6,232 "
2020-07-03,-884 ,119 ,"1,068 "
2020-07-02,"-2,133 ",-116 ,"2,163 "
2020-07-01,88 ,"-1,640 ","1,508 "
2020-06-30,"-1,652 ",-718 ,"2,398 "
2020-06-29,"5,752 ","-2,287 ","-3,518 "
2020-06-26,533 ,616 ,"-1,647 "
2020-06-25,"13,013 ","-2,764 ","-10,455 "
2020-06-24,-73 ,"3,500 ","-3,903 "
2020-06-23,"3,504 ",-528 ,"-2,814 "
2020-06-22,"4,302 ","-2,533 ","-1,934 "
2020-06-19,"1,647 ",511 ,"-2,164 "
2020-06-18,"2,943 ","-1,624 ",-832 
2020-06-17,"1,525 ",-528 ,"-1,137 "
2020-06-16,"-5,949 ","1,029 ","4,800 "
2020-06-15,"12,372 ","-4,741 ","-7,616 "
2020-06-12,"5,559 ","-2,648 ","-2,862 "
2020-06-11,"12,717 ","-1,163 ","-11,844 "
2020-06-10,"-1,693 ",-450 ,"2,158 "
2020-06-09,"4,132 ",-192 ,"-3,999 "
2020-06-08,"3,790 ",76 ,"-3,716 "
2020-06-05,"-3,195 ",-686 ,"4,054 "
2020-06-04,"-3,349 ",458 ,"2,978 "
2020-06-03,"-13,182 ","2,050 ","11,345 "
2020-06-02,-98 ,-472 ,350 
2020-06-01,"-4,455 ","1,102 ","3,250 "
2020-05-29,"1,898 ","-1,999 ",-201 
2020-05-28,"-2,842 ",604 ,"2,225 "
2020-05-27,"3,216 ","-2,153 ",-727 
2020-05-26,"-4,799 ",141 ,"3,417 "
2020-05-25,958 ,"-1,415 ",347 
2020-05-22,"9,362 ","-4,749 ","-4,485 "
2020-05-21,"2,904 ",764 ,"-3,882 "
2020-05-20,"-1,819 ",788 ,981 
2020-05-19,"-11,869 ","3,658 ","8,432 "
2020-05-18,301 ,-931 ,339 
2020-05-15,"2,234 ","-4,721 ","2,426 "
2020-05-14,"7,866 ","-5,521 ","-2,372 "
2020-05-13,"2,154 ","-3,177 ",935 
2020-05-12,"6,057 ","-3,105 ","-2,985 "
2020-05-11,"5,112 ","-1,701 ","-3,631 "
2020-05-08,"-2,432 ",451 ,"1,705 "
2020-05-07,"2,534 ","-3,201 ",565 
2020-05-06,-1 ,"-3,146 ","3,090 "
2020-05-04,"17,001 ","-9,420 ","-8,060 "
2020-04-29,"-4,870 ","2,358 ","2,522 "
2020-04-28,856 ,"-1,250 ",239 
2020-04-27,"-5,492 ",183 ,"5,279 "
2020-04-24,"6,328 ","-2,307 ","-4,231 "
2020-04-23,-156 ,"-1,062 ","1,000 "
2020-04-22,"3,178 ",-355 ,"-3,098 "
2020-04-21,"7,094 ","-5,282 ","-1,904 "
2020-04-20,"9,560 ","-4,980 ","-4,849 "
2020-04-17,"-6,057 ","3,186 ","2,356 "
2020-04-16,"3,888 ","-5,687 ","1,363 "
2020-04-14,"-4,530 ",-317 ,"4,679 "
2020-04-13,"7,588 ","-2,920 ","-4,576 "
2020-04-10,"2,520 ",-558 ,"-2,059 "
2020-04-09,"2,941 ","-1,783 ","-1,296 "
2020-04-08,"4,520 ","-1,345 ","-2,820 "
2020-04-07,"1,492 ","-1,951 ",329 
2020-04-06,"-8,430 ","-2,019 ","10,361 "
2020-04-03,"3,487 ","-2,883 ",-833 
2020-04-02,"2,700 ","-6,233 ","3,599 "
2020-04-01,"11,508 ","-5,752 ","-6,199 "
2020-03-31,"3,845 ",-711 ,"-2,901 "
2020-03-30,"1,986 ","-4,272 ","2,236 "
2020-03-27,"1,731 ","-3,724 ","1,300 "
2020-03-26,"7,166 ","-5,307 ","-2,138 "
2020-03-25,"4,283 ","-3,230 ",-948 
2020-03-24,"-4,623 ",-823 ,"5,024 "
2020-03-23,"9,200 ","-6,405 ","-3,611 "
2020-03-20,"2,004 ","-5,832 ","3,116 "
2020-03-19,"2,421 ","-6,149 ","2,898 "
2020-03-18,"9,136 ","-5,058 ","-5,145 "
2020-03-17,"6,010 ","-10,031 ","3,502 "
2020-03-16,"9,263 ","-6,786 ","-3,465 "
2020-03-13,"4,463 ","-11,629 ","5,848 "
2020-03-12,"5,388 ","-8,891 ","2,756 "
2020-03-11,"10,886 ","-6,835 ","-4,838 "
