,날짜,종가,전월대비 등락률,외국인순매수,개인순매수,기관순매수,시가총액대비,환율,환율 차분
94,2012-11-01,1932.9000244140625,0.0108992213537683,-5451,-11910,18641,34.4,1082.0999755859375,-0.0075209326561079155
95,2012-12-01,1997.050048828125,0.0331884854900909,35557,-32821,1535,34.8,1071.5999755859375,-0.009703354807225128
96,2013-01-01,1961.93994140625,-0.0175809852349357,-18941,10768,9590,34.6,1085.4000244140625,0.012877985388698153
97,2013-02-01,2026.489990234375,0.0329011339571678,9849,-10046,3886,35.0,1083.9000244140625,-0.0013819789628342356
98,2013-03-01,2004.8900146484373,-0.0106588118816413,-24656,9042,15619,34.6,1112.0,0.0259248777128941
99,2013-04-01,1963.949951171875,-0.0204201044333803,-22911,8567,22049,34.2,1103.199951171875,-0.007913712974932555
100,2013-05-01,2001.050048828125,0.0188905514797424,7647,-9496,3703,34.5,1127.5999755859375,0.022117499541351098
101,2013-06-01,1863.3199462890625,-0.068828914409073,-23130,19811,22664,33.9,1147.199951171875,0.017382029097466695
102,2013-07-01,1914.030029296875,0.0272149091243322,7984,-8991,6927,33.5,1113.300048828125,-0.029550125337018143
103,2013-08-01,1926.3599853515625,0.0064418822411145,21127,-20180,-222,34.2,1111.699951171875,-0.0014372564322927004
104,2013-09-01,1996.9599609375,0.0366494196945504,40919,-31403,-27941,34.7,1075.800048828125,-0.03229279834536907
105,2013-10-01,2030.0899658203125,0.0165902198996815,40980,-5089,-30801,35.6,1058.199951171875,-0.0163600082333347
106,2013-11-01,2044.8699951171875,0.0072804799519821,-1981,580,3098,35.7,1060.0999755859375,0.0017955249496641624
107,2013-12-01,2011.3399658203125,-0.016397144746091,-11634,-465,20369,35.3,1054.0,-0.005754151237071699
108,2014-01-01,1941.1500244140625,-0.0348971047157726,-16452,13921,750,34.9,1076.9000244140625,0.021726778381463474
109,2014-02-01,1979.989990234375,0.0200087398355706,-702,-48,7487,35.1,1068.699951171875,-0.007614516720481208
110,2014-03-01,1985.6099853515625,0.0028383957216481,-11424,7573,2241,34.8,1066.550048828125,-0.002011698738633365
111,2014-04-01,1961.7900390625,-0.0119962865138619,27460,-6015,-18401,35.1,1029.43994140625,-0.0347945297669339
112,2014-05-01,1994.9599609375,0.0169079877125134,19091,-9638,-8021,35.5,1018.5399780273438,-0.010588246036011124
113,2014-06-01,2002.2099609375,0.0036341581495164,10931,-4848,-3922,35.3,1013.2999877929688,-0.005144609291157668
114,2014-07-01,2076.1201171875,0.0369142885571265,34424,-9847,-22475,35.9,1023.5999755859376,0.010164796128541249
115,2014-08-01,2068.5400390625,-0.0036510787898287,18237,5324,-16722,35.5,1014.2000122070312,-0.009183239158955196
116,2014-09-01,2020.0899658203125,-0.023422352155265,-6274,6605,1080,35.0,1052.199951171875,0.037467894406894096
117,2014-10-01,1964.4300537109373,-0.0275531847844077,-20442,3288,22891,35.2,1053.800048828125,0.0015207163376769887
118,2014-11-01,1980.780029296875,0.0083230123439881,15453,-21118,8369,34.7,1099.0999755859375,0.04298721261987807
119,2014-12-01,1915.5899658203125,-0.0329113089350478,-16187,-7797,19786,34.1,1098.800048828125,-0.0002728839636745575
120,2015-01-01,1949.260009765625,0.0175768533695017,-10449,2234,-6690,34.3,1098.800048828125,0.0
121,2015-02-01,1985.800048828125,0.0187455951896809,13278,-8671,5278,33.9,1100.6700439453125,0.001701852051409952
122,2015-03-01,2041.030029296875,0.0278124580072111,28641,7478,-28448,34.0,1105.5,0.0043881961549300415
123,2015-04-01,2127.169921875,0.0422041279852211,38748,-7495,-35800,34.0,1068.969970703125,-0.033043898052351875
124,2015-05-01,2114.800048828125,-0.0058151786181573,16637,9500,-19429,33.5,1107.0,0.035576330803624344
125,2015-06-01,2074.199951171875,-0.0191980786451881,-10508,14547,-3895,32.8,1118.219970703125,0.01013547488990515
126,2015-07-01,2030.1600341796875,-0.0212322428063437,-17997,28757,-9033,32.3,1170.77001953125,0.04699437517207109
127,2015-08-01,1941.489990234375,-0.0436763813948001,-33790,3590,20805,31.7,1177.5999755859375,0.005833729887806711
128,2015-09-01,1962.81005859375,0.0109812919286806,-17654,-1374,13512,32.1,1194.1600341796875,0.014062550048466353
129,2015-10-01,2029.469970703125,0.0339614685677397,1080,-15628,10246,32.9,1139.8599853515625,-0.04547133321659496
130,2015-11-01,1991.969970703125,-0.0184777309057733,-19484,-437,5143,32.4,1154.8299560546875,0.013133166262089524
131,2015-12-01,1961.31005859375,-0.0153917541731578,-32964,-13771,28430,32.2,1169.449951171875,0.012659868269381093
132,2016-01-01,1912.06005859375,-0.0251107670529727,-29668,11520,14932,31.7,1205.6300048828125,0.030937667468951897
133,2016-02-01,1916.6600341796875,0.0024057694031434,2651,-18390,14629,31.9,1241.1300048828125,0.0294451862148625
134,2016-03-01,1995.8499755859373,0.0413166341417154,20323,-13630,-23477,32.6,1140.22998046875,-0.08129690203049235
135,2016-04-01,1994.1500244140625,-0.0008517429629829,19570,2582,-18866,32.6,1134.0,-0.00546379289745464
136,2016-05-01,1983.4000244140625,-0.0053907679303911,1798,3774,-12038,32.9,1198.449951171875,0.05683417210923721
137,2016-06-01,1970.3499755859373,-0.006579635306791,7893,-12831,2488,33.4,1152.1500244140625,-0.03863317505461054
138,2016-07-01,2016.18994140625,0.023264885115996,33975,-9567,-33699,33.8,1123.3499755859375,-0.024996787065791674
139,2016-08-01,2034.6500244140625,0.0091559245628102,10792,-8258,-13269,34.4,1118.3800048828125,-0.0044242407185104285
140,2016-09-01,2043.6300048828125,0.0044135258452303,10816,-213,-12941,34.5,1101.6199951171875,-0.014985970504167917
141,2016-10-01,2008.18994140625,-0.0173417220298616,3986,-9583,-1654,35.0,1146.699951171875,0.040921512186143656
142,2016-11-01,1983.47998046875,-0.0123045935187767,-3556,-9105,18367,35.2,1167.8599853515625,0.018452982541826143
143,2016-12-01,2026.4599609375,0.0216689761893097,10106,-7900,-3097,35.2,1210.3399658203125,0.03637420666995641
144,2017-01-01,2067.570068359375,0.0202866615745303,16395,154,-19646,35.9,1169.2099609375,-0.03398219181743411
145,2017-02-01,2091.639892578125,0.0116416002471197,3137,-17022,6779,35.6,1133.93994140625,-0.03016568512893071
146,2017-03-01,2160.22998046875,0.0327924936476908,28470,-9994,-24236,36.2,1117.02001953125,-0.014921356288073636
147,2017-04-01,2205.43994140625,0.020928309182937,1105,-7564,-2199,36.6,1129.93994140625,0.011566419266524658
148,2017-05-01,2347.3798828125,0.064359014608099,13217,-12683,2177,36.7,1123.9000244140625,-0.005345343385835721
149,2017-06-01,2391.7900390625,0.0189190324817771,16701,12768,-27123,37.0,1146.1400146484375,0.01978822826876409
150,2017-07-01,2402.7099609375,0.0045655854806052,-5325,-8680,17828,37.3,1124.050048828125,-0.01927335712739101
151,2017-08-01,2363.18994140625,-0.016448102423411,-13019,-3636,10901,37.0,1123.3299560546875,-0.0006406234083511055
152,2017-09-01,2394.469970703125,0.0132363585121987,-16122,-1806,13582,37.5,1145.93994140625,0.020127643912366003
153,2017-10-01,2523.429931640625,0.0538574141732216,13282,1175,-26350,37.8,1123.449951171875,-0.019625801860764375
154,2017-11-01,2476.3701171875,-0.0186491464902806,6324,-2723,-5954,37.3,1080.6600341796875,-0.03808796016907844
155,2017-12-01,2467.489990234375,-0.0035859449649677,-17500,-19209,26444,37.2,1073.550048828125,-0.006579298879096219
156,2018-01-01,2566.4599609375,0.0401095733295049,26209,-8868,-6316,36.8,1072.5400390625,-0.0009408129287754354
157,2018-02-01,2427.360107421875,-0.0541991130322615,-15569,7611,-1939,36.5,1079.3900146484375,0.006386685192587325
158,2018-03-01,2445.85009765625,0.0076173247545101,-13285,-2560,2089,36.4,1062.0,-0.016110964908362165
159,2018-04-01,2515.3798828125,0.0284276559805841,-2820,17461,-7120,36.5,1067.5999755859375,0.005273046691089925
160,2018-05-01,2423.010009765625,-0.0367220369686642,-10748,5755,-2217,36.5,1075.030029296875,0.006959585875654988
161,2018-06-01,2326.1298828125,-0.0399833787572739,-15799,11328,8564,36.3,1120.5400390625,0.04233371024564857
